PINOUT,DAISY PIN NAME*,STM32 PIN NAME,PRIMARY FUNCTION,ALT. FUNCTIONS 1,ALT. FUNCTIONS 2
1,D0,PB12,GPIO,USB_HS_ID/UART5_RX/            USART3_CK,TIM1_BKIN
2,D1,PC11,GPIO,SDMMC1_D3/USART3_RX/UART4_RX,SPI3_MISO/ I2S3_SDI/HRTIM_FLT2
3,D2,PC10,GPIO,SDMMC1_D2/USART3_TX/UART4_TX,SPI3_SCK/I2S3_CK/HRTIM_EEV1
4,D3,PC9,GPIO,SDMMC1_D1/UART5_CTS,I2S_CKIN/MCO2
5,D4,PC8,GPIO,SDMMC1_D0/UART5_RTS,
6,D5,PD2,GPIO,SDMMC1_CMD/UART5_RX,
7,D6,PC12,GPIO,SDMMC1_CK/UART5_TX/ USART3_CK,SPI3_MOSI/I2S3_SDO
8,D7,PG10,GPIO,SPI1_NSS/I2S1_WS,HRTIM_FLT5
9,D8,PG11,GPIO,SPI1_SCK/I2S1_CK,LPTIM1_IN2/HRTIM_EEV4
10,D9,PB4,GPIO,SPI1_MISO/UART7_TX,SPI1_MISO/I2S1_SDI/SPI3_MISO/I2S3_SDI/SPI6_MISO
11,D10,PB5,GPIO,SPI1_MOSI/UART5_RX,SPI1_MOSI/I2S1_SDO/SPI3_MOSI/I2S3_SDO/SPI6_MOSI/I2C4_SMBA/ TIM17_BKIN
12,D11,PB8,GPIO,I2C1_SCL/UART4_RX,I2C4_SCL/TIM16_CH1/TIM4_CH3
13,D12,PB9,GPIO,I2C1_SDA/UART4_TX/          SPI2_NSS/I2S2_WS,I2C4_SDA/I2C4_SMBA/TIM17_CH1/TIM4_CH4
14,D13,PB6,GPIO,USART1_TX/LPUART1_TX/UART5_TX,I2C1_SCL/I2C4_SCL/ TIM16_CH1N/TIM4_CH1
15,D14,PB7,GPIO,USART1_RX/LPUART1_RX,I2C1_SDA/I2C4_SDA/TIM17_CH1N/TIM4_CH2
16,NC,,AUDIO IN L,,
17,NC,,AUDIO IN R,,
18,NC,,AUDIO OUT L,,
19,NC,,AUDIO OUT R,,
20,NC,,AGND,,
21,NC,,+3V3A,,
22,"A0, D15",PC0,GPIO,ADC0/SAI2_FS_B,
23,"A1, D16",PA3,GPIO,ADC1/USART2_RX,TIM2_CH4/TIM5_CH4
24,"A2, D17",PB1,GPIO,ADC2,TIM1_CH3N/TIM3_CH4
25,"A3, D18",PA7,GPIO,ADC3/SPI1_MOSI/I2S1_SDO/SPI6_MOSI,TIM1_CH1N/TIM3_CH2
26,"A4, D19",PA6,GPIO,ADC4/SPI1_MISO/I2S1_SDI/SPI6_MISO,TIM1_BKIN/TIM3_CH1
27,"A5, D20",PC1,GPIO,ADC5,
28,"A6, D21",PC4,GPIO,ADC6/I2S1_MCK,
29,"A7, D22",PA5,GPIO,ADC7/DAC1_OUT2,SPI1_SCK/I2S1_CK/SPI6_SCK/D2PWREN/TIM2_CH1
30,"A8, D23",PA4,GPIO,ADC8/DAC1_OUT1,SPI1_NSS/I2S1_WS/SPI3_NSS/I2S3_WS/SPI6_NSS/D1PWREN
31,"A9, D24",PA1,GPIO,ADC9/SAI2_MCLK_B,UART4_RX/TIM2_CH2/TIM5_CH2
32,"A10, D25",PA0,GPIO,ADC10/SAI2_SD_B,UART4_TX/TIM2_CH1/TIM2_ETR/TIM5_CH1
33,D26,PD11,GPIO,SAI2_SD_A/I2C4_SMBA,LPTIM2_IN2
34,D27,PG9,GPIO,SAI2_FS_B/USART6_RX,SPI1_MISO/I2S1_SDI
35,"A11, D28",PA2,GPIO,ADC11/SAI2_SCK_B,USART2_TX/TIM2_CH3/TIM5_CH3
36,D29,PB14,GPIO,USB_HS_D-/USART1_TX,TIM1_CH2N
37,D30,PB15,GPIO,USB_HS_D+/USART1_RX,
38,NC,,+3V3D,,
39,NC,,VIN,,
40,PG3,,GND,,